Rank,Name,Price,One_hour_change,Twenty_four_hour_change,Seven_day_change,Market_cap,Hr_volume,Circulating_supply
,CoinMarketCap 20 Index DTFCMC20Buy,$186.35,0.03%,1.23%,7.78%,"$6.55M$6,551,853","$2,079,37811.16K",35.15K CMC20
1,BitcoinBTCBuy,"$89,317.99",0.33%,1.02%,6.80%,"$1.78T$1,784,516,791,860","$41,576,670,056466.06K",19.97M BTC
2,EthereumETHBuy,"$2,941.07",0.82%,0.45%,10.77%,"$354.97B$354,971,365,835","$26,884,586,9969.14M",120.69M ETH
3,TetherUSDTBuy,$0.9990,0.00%,0.01%,0.07%,"$186.73B$186,732,139,912","$92,214,620,96692.30B",186.91B USDT
4,BNBBNBBuy,$884.11,0.22%,1.49%,4.68%,"$120.56B$120,558,078,155","$2,065,852,0002.33M",136.36M BNB
5,XRPXRPBuy,$1.92,0.01%,1.25%,6.98%,"$116.89B$116,891,514,612","$3,176,423,4761.65B",60.78B XRP
6,USDCUSDCBuy,$0.9996,0.00%,0.00%,0.01%,"$73.75B$73,753,003,571","$16,684,082,09616.68B",73.77B USDC
7,SolanaSOLBuy,$127.83,0.33%,0.45%,9.60%,"$72.32B$72,315,299,105","$3,894,359,05330.46M",565.7M SOL
8,TRONTRXBuy,$0.3034,0.20%,1.97%,1.77%,"$28.74B$28,740,397,969","$644,597,0572.12B",94.71B TRX
9,DogecoinDOGEBuy,$0.1242,0.48%,0.78%,11.11%,"$20.93B$20,931,401,649","$1,065,296,6258.57B",168.42B DOGE
10,CardanoADABuy,$0.3595,0.43%,1.97%,8.17%,"$12.96B$12,956,279,300","$563,894,8371.56B",36.03B ADA
11,Bitcoin CashBCHBuy,$599.37,0.29%,3.72%,3.48%,"$11.98B$11,978,245,893","$353,967,461591.01K",19.98M BCH
12,MoneroXMRBuy,$513.71,1.53%,1.32%,28.46%,"$9.48B$9,476,385,777","$134,292,659261.41K",18.44M XMR
13,ChainlinkLINKBuy,$12.22,0.42%,1.27%,10.46%,"$8.65B$8,654,823,519","$421,592,26834.49M",708.09M LINK
14,UNUS SED LEOLEOBuy,$8.96,0.12%,1.97%,0.91%,"$8.27B$8,266,254,823","$1,085,606121.04K",921.69M LEO
15,StellarXLMBuy,$0.2119,0.56%,1.98%,6.21%,"$6.87B$6,872,209,658","$150,921,811711.91M",32.41B XLM
16,Ethena USDeUSDeBuy,$0.9992,0.02%,0.02%,0.06%,"$6.58B$6,582,096,426","$120,261,880120.34M",6.58B USDe
17,HyperliquidHYPEBuy,$21.26,1.74%,2.21%,13.60%,"$6.42B$6,424,507,014","$207,221,2499.74M",302.07M HYPE
18,ZcashZECBuy,$362.42,0.59%,1.18%,12.63%,"$5.98B$5,979,586,331","$468,509,1161.29M",16.49M ZEC
19,SuiSUIBuy,$1.49,0.38%,1.73%,15.26%,"$5.68B$5,683,032,445","$776,682,383518.26M",3.79B SUI
20,CantonCCBuy,$0.1458,1.76%,1.12%,9.71%,"$5.47B$5,469,464,667","$22,130,209151.73M",37.5B CC
21,DaiDAIBuy,$0.9996,0.00%,0.00%,0.01%,"$5.36B$5,363,670,329","$97,063,87597.09M",5.36B DAI
22,AvalancheAVAXBuy,$12.12,0.37%,0.13%,11.59%,"$5.23B$5,228,106,080","$301,418,53424.87M",431.22M AVAX
23,LitecoinLTCBuy,$67.98,0.51%,1.04%,5.69%,"$5.22B$5,219,238,841","$391,278,6855.75M",76.76M LTC
24,World Liberty FinancialWLFIBuy,$0.1734,1.30%,3.81%,3.39%,"$4.64B$4,637,677,516","$100,659,510579.95M",26.74B WLFI
25,Shiba InuSHIBBuy,$0.057843,0.35%,0.94%,5.92%,"$4.62B$4,621,461,418","$100,312,55312.78T",589.24T SHIB
